Xytai, Champion of the Brown
Choirverth, the White
Cyndum, the Eternal
Xemrad, Lord of the Blue
Nakinth, Champion of the Red
Dimirth, the Young One
Gosayr, Lord of the Red
Frersysderth, the Calm
Guldrydinth, the Strong Minded
Cazzacrid, the Taker of Life
Gazyrth, the Young One
Dummed, Lord of the Blue
Rigam, the Tall
Qolzrem, Redeemer of Men
Grytuss, Champion of the Blue
Fruvun, Champion of the Yellow
Cide, the Tiran
Ayrgadirth, the Barbarian
Brayrdonom, Champion of the Blue
Chendranam, Lord of the Black
Xiodoir, the Swift
Eidaen, the Dark
Freoldrionth, the Barbarian
Nynnyss, the Eternal One
Xusi, Gentle Mind
Foalreit, the Creep
Cundeit, the Dark One
Ceghuntei, Lord of the Yellow
Raemmalay, the Evil One
Maghoinun, Bringer of Death
